Name                                                                                                Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------------------------------
colossalai/_C/__init__.py                                                                               0      0   100%
colossalai/__init__.py                                                                                  6      3    50%
colossalai/amp/__init__.py                                                                             20     10    50%
colossalai/amp/amp_type.py                                                                              5      0   100%
colossalai/amp/apex_amp/__init__.py                                                                     9      4    56%
colossalai/amp/apex_amp/apex_amp.py                                                                    15      6    60%
colossalai/amp/naive_amp/__init__.py                                                                   29     20    31%
colossalai/amp/naive_amp/_fp16_optimizer.py                                                           172    127    26%
colossalai/amp/naive_amp/_utils.py                                                                     21     17    19%
colossalai/amp/naive_amp/grad_scaler/__init__.py                                                        4      0   100%
colossalai/amp/naive_amp/grad_scaler/base_grad_scaler.py                                               31     14    55%
colossalai/amp/naive_amp/grad_scaler/constant_grad_scaler.py                                            8      3    62%
colossalai/amp/naive_amp/grad_scaler/dynamic_grad_scaler.py                                            49     39    20%
colossalai/amp/naive_amp/naive_amp.py                                                                  86     58    33%
colossalai/amp/torch_amp/__init__.py                                                                   15      7    53%
colossalai/amp/torch_amp/_grad_scaler.py                                                              234    187    20%
colossalai/amp/torch_amp/torch_amp.py                                                                  35     14    60%
colossalai/builder/__init__.py                                                                          2      0   100%
colossalai/builder/builder.py                                                                          21     16    24%
colossalai/communication/__init__.py                                                                    5      0   100%
colossalai/communication/collective.py                                                                 92     78    15%
colossalai/communication/p2p.py                                                                       131    107    18%
colossalai/communication/ring.py                                                                       20     15    25%
colossalai/communication/utils.py                                                                      64     51    20%
colossalai/constants.py                                                                                11      0   100%
colossalai/context/__init__.py                                                                          6      0   100%
colossalai/context/config.py                                                                           58     42    28%
colossalai/context/moe_context.py                                                                      66     37    44%
colossalai/context/parallel_context.py                                                                227    153    33%
colossalai/context/parallel_mode.py                                                                    21      0   100%
colossalai/context/process_group_initializer/__init__.py                                               11      0   100%
colossalai/context/process_group_initializer/initializer_1d.py                                         29     20    31%
colossalai/context/process_group_initializer/initializer_2d.py                                         72     55    24%
colossalai/context/process_group_initializer/initializer_2p5d.py                                      136    112    18%
colossalai/context/process_group_initializer/initializer_3d.py                                        155    129    17%
colossalai/context/process_group_initializer/initializer_data.py                                       27     19    30%
colossalai/context/process_group_initializer/initializer_model.py                                      28     20    29%
colossalai/context/process_group_initializer/initializer_pipeline.py                                   26     18    31%
colossalai/context/process_group_initializer/initializer_sequence.py                                   42     29    31%
